Name,Metro/Rural,Metro Pole,Total Population,Commuter %,Total Commuters,Solo Commuter %,Solo Commuters,Carpooler %,Carpoolers,Public Transit %,Public Transit,Walking %,Walking,Other Transit %,Other Transit,Latitude,Longitude
"Dade County, Missouri",Rural,,7590.0,41.06719367588933,3117.0,73.59640680141163,2294.0,12.60827718960539,393.0,0.06416426050689766,2.0,3.1761308950914344,99.0,1.6361886429258905,51.0,37.48636090000001,-93.9878427
"Dallas County, Missouri",Metro,Springfield,16508.0,34.58929004119215,5710.0,70.92819614711033,4050.0,18.598949211908934,1062.0,0.08756567425569177,5.0,2.119089316987741,121.0,3.274956217162872,187.0,37.6853001,-93.0175712
"Daviess County, Missouri",Rural,,8257.0,40.65641274070486,3357.0,74.0840035746202,2487.0,13.285671730711947,446.0,0.14894250819183796,5.0,3.2171581769437,108.0,4.110813226094727,138.0,39.994907399999995,-93.9878427
"DeKalb County, Missouri",Rural,,12706.0,32.417755391153776,4119.0,80.9905316824472,3336.0,12.041757708181596,496.0,0.5098324836125273,21.0,0.5583879582422918,23.0,1.6266084000971108,67.0,39.8554602,-94.43879
"Dent County, Missouri",Rural,,15578.0,37.02657594042881,5768.0,80.68654646324549,4654.0,12.309292649098476,710.0,0.4507628294036061,26.0,1.2482662968099858,72.0,2.721914008321775,157.0,37.544666,-91.443469
"Douglas County, Missouri",Rural,,13467.0,36.28870572510581,4887.0,77.0206670759157,3764.0,13.934929404542663,681.0,0.2046245140167792,10.0,3.8469408635154485,188.0,0.7366482504604052,36.0,36.9708648,-92.4999918
"Dunklin County, Missouri",Rural,,31271.0,36.26682869111957,11341.0,83.50233665461599,9470.0,11.198307027598977,1270.0,0.14108103341856978,16.0,1.498985980072304,170.0,1.3402698174764132,152.0,36.2364268,-90.055447
"Franklin County, Missouri",Metro,St. Louis,102063.0,47.468720300206726,48448.0,84.34816710700133,40865.0,9.699058784676351,4699.0,0.6398612945838837,310.0,1.7441380449141348,845.0,0.6419253632760898,311.0,38.395360100000005,-91.135302
"Gasconade County, Missouri",Rural,,14875.0,43.65042016806723,6493.0,80.50207916217464,5227.0,12.921607885415064,839.0,0.41583243492992455,27.0,2.2639765901740336,147.0,0.32342522716771904,21.0,38.4335915,-91.48214820000001
"Gentry County, Missouri",Rural,,6745.0,44.106745737583395,2975.0,75.02521008403362,2232.0,15.058823529411766,448.0,0.8739495798319328,26.0,3.8319327731092434,114.0,1.3109243697478992,39.0,40.1406981,-94.47997600000001
"Greene County, Missouri",Metro,Springfield,285449.0,47.06304804010524,134341.0,82.05611094155917,110235.0,9.512360336754973,12779.0,0.6260188624470564,841.0,2.0701051801013834,2781.0,1.704617354344541,2290.0,37.3311215,-93.5003454
"Grundy County, Missouri",Rural,,10231.0,42.556934805981825,4354.0,78.68626550298576,3426.0,9.186954524575103,400.0,1.7914561322921452,78.0,4.9609554432705565,216.0,1.4239779513091408,62.0,40.174378600000004,-93.5003454
"Harrison County, Missouri",Rural,,8649.0,43.13793502138976,3731.0,77.37871884213348,2887.0,11.337443044760118,423.0,0.10720986330742427,4.0,4.744036451353526,177.0,2.224604663629054,83.0,40.3219529,-93.9878427
"Henry County, Missouri",Rural,,21930.0,41.162790697674424,9027.0,84.55743879472693,7633.0,8.397031128835716,758.0,0.033233632436025264,3.0,1.6506037443225878,149.0,1.0634762379528082,96.0,38.3386592,-93.82482409999999
"Hickory County, Missouri",Rural,,9267.0,31.682313585842238,2936.0,79.49591280653952,2334.0,11.341961852861035,333.0,0.0,0.0,1.7370572207084467,51.0,2.6226158038147136,77.0,37.974724200000004,-93.2986106
"Holt County, Missouri",Rural,,4537.0,46.837117037690106,2125.0,79.90588235294119,1698.0,12.32941176470588,262.0,0.2823529411764706,6.0,3.623529411764706,77.0,1.0823529411764703,23.0,40.0704458,-95.1849219
"Howard County, Missouri",Rural,,10148.0,46.62002364998029,4731.0,79.28556330585499,3751.0,9.384908053265695,444.0,0.4861551469034031,23.0,3.128302684421898,148.0,2.0503064891143516,97.0,39.2064126,-92.69838680000001
"Howell County, Missouri",Rural,,40265.0,40.047187383583754,16125.0,83.69612403100777,13496.0,9.618604651162789,1551.0,0.08682170542635659,14.0,1.3333333333333337,215.0,1.2217054263565892,197.0,36.8527979,-91.9099238
"Iron County, Missouri",Rural,,10220.0,36.34050880626223,3714.0,80.8562197092084,3003.0,9.746903607969845,362.0,0.1346257404415724,5.0,3.2848680667743677,122.0,1.884760366182014,70.0,37.551518200000004,-90.6773046
"Jackson County, Missouri",Metro,Kansas City,683643.0,47.77873831809878,326636.0,82.24690481147209,268648.0,7.902986811006747,25814.0,2.2437820693371213,7329.0,1.7824122264539122,5822.0,1.4248276368801969,4654.0,38.9914998,-94.315422
"Jasper County, Missouri",Rural,,117376.0,47.096510359869136,55280.0,83.64869753979741,46241.0,9.222141823444282,5098.0,0.3545586107091172,196.0,1.5430535455861072,853.0,1.2554269175108541,694.0,37.17455650000001,-94.356513
"Jefferson County, Missouri",Metro,St. Louis,222453.0,47.87797871910022,106506.0,86.12096971062662,91724.0,9.289617486338797,9894.0,0.2309729029350459,246.0,0.5689820291814546,606.0,0.42626706476630427,454.0,38.231030100000005,-90.5257823
"Johnson County, Missouri",Rural,,54229.0,48.96273211750171,26552.0,80.03163603495028,21250.0,9.110424826755047,2419.0,0.19960831575775834,53.0,4.982675504670081,1323.0,1.2767399819222658,339.0,38.674474700000005,-93.82482409999999
"Knox County, Missouri",Rural,,3997.0,41.18088566424819,1646.0,73.63304981773997,1212.0,11.178614823815307,184.0,0.12150668286755772,2.0,5.710814094775213,94.0,0.42527339003645204,7.0,40.2058437,-92.2236667
"Laclede County, Missouri",Rural,,35505.0,41.45894944374032,14720.0,80.16983695652173,11801.0,13.13179347826087,1933.0,0.06793478260869565,10.0,2.0855978260869565,307.0,1.3111413043478262,193.0,37.6965235,-92.539603
"Lafayette County, Missouri",Metro,Kansas City,32789.0,45.52136387203025,14926.0,80.90580195631783,12076.0,10.30416722497655,1538.0,0.32158649336727857,48.0,2.016615302157309,301.0,1.7486265576845774,261.0,39.00312879999999,-93.9878427
"Lawrence County, Missouri",Rural,,38204.0,41.2286671552717,15751.0,76.97289061011998,12124.0,13.300742809980314,2095.0,0.08253444225763444,13.0,1.9490825979302904,307.0,2.057012253190273,324.0,37.1500679,-93.82482409999999
"Lewis County, Missouri",Rural,,10146.0,46.7671988961167,4745.0,71.14857744994731,3376.0,13.677555321390939,649.0,0.5690200210748156,27.0,3.9409905163329824,187.0,1.1169652265542678,53.0,40.05008529999999,-91.75388170000001
"Lincoln County, Missouri",Metro,St. Louis,54286.0,43.755296024757776,23753.0,85.00820948932767,20192.0,9.897697132993727,2351.0,0.21049972635035571,50.0,0.3915294910116617,93.0,1.1661684839809707,277.0,39.0669568,-90.9820668
"Linn County, Missouri",Rural,,12319.0,43.03920772789999,5302.0,79.72463221425879,4227.0,12.542436816295734,665.0,0.0,0.0,2.0558279894379483,109.0,1.6408902301018484,87.0,39.8556605,-93.1779659
